ID;Código;Nombre del Documento;Puede tener + de 1;Categoría;Tipo de vigencia;Vigencia sugerida (días);campos documento;nombre campos;Comentario
1;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;segundo apellido;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;primer nombre;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;segundo nombre;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;nacionalidad;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;sexo;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;fecha de nacimiento;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;numero de documento;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;fecha de emision;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;fecha de vencimiento;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;run;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;nacio_en;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad antigua;no;Documentos de Identidad;fecha_expiracion;—;profesion;;
1;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;segundo apellido;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;primer nombre;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;segundo nombre;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;nacionalidad;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;sexo;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;fecha de nacimiento;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;numero de documento;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;fecha de emision;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;fecha de vencimiento;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;run;;
;ID_CEDULA_ANTIGUA_FRENTE;cedula de identidad nueva;no;Documentos de Identidad;fecha_expiracion;—;nacio_en;;
2;ID_PASAPORTE;Pasaporte;no;Documentos de Identidad;fecha_expiracion;—;;;
4;ID_PERMISO_TRABAJO;Permiso trabajo extranjero;no;Documentos de Identidad;fecha_expiracion;—;;;
5;ID_FOTO_CARNET;Fotografía tamaño carnet;no;Documentos de Identidad;sin_vigencia;—;;;
6;ID_CERT_NAC;Certificado de nacimiento;no;Documentos de Identidad;periodo_desde_emision;90;;;
7;ID_CERT_DOMICILIO;Certificado domicilio/residencia;no;Documentos de Identidad;periodo_desde_emision;180;;;
1;CERT_EST_MEDIOS;Certificado estudios enseñanza media;no;Formación y Títulos;sin_vigencia;—;;;
2;CERT_TITULO_TEC;Certificado título técnico nivel superior;no;Formación y Títulos;sin_vigencia;—;;;
3;CERT_TITULO_SUP;Certificado título profesional/universitario;no;Formación y Títulos;sin_vigencia;—;;;
4;CERT_POSTGRADO_DIPLOMADO;Diplomado de especialización;si;Formación y Títulos;sin_vigencia;—;;;
5;CERT_POSTGRADO_MAGISTER;Grado académico magíster;si;Formación y Títulos;sin_vigencia;—;;;
6;CERT_POSTGRADO_DOCTORADO;Grado académico doctorado;si;Formación y Títulos;sin_vigencia;—;;;
7;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;clase;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;numero de licencia;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;municipalidad;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;primer nombre;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;segundo nombre;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;primer apellido;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;segundo apellido;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;direccion;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;fecha ultimo control;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;fecha de control;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;restricciones;;
